Date of the game,Away Team Ticker,Home Team Ticker,Is Away Team Home? (Home Court Advantage Stat),Is Home Team Home? (Home Court Advantage Stat),Did a Major Event Occur?,Military-Hours Time of the Game,Away team inactive players,Home team inactive players,Away team win/loss %,Home Team win/loss %,Did Home Team Win? (Outcome)
2020-12-22,GSW,BRK,0,1,0,1900,4,2,0.0,0.0,1
2020-12-22,LAC,LAL,0,1,0,2200,2,2,0.0,0.0,0
2020-12-23,MIL,BOS,0,1,0,1930,1,3,0.0,0.0,1
2020-12-23,ATL,CHI,0,1,0,2000,5,2,0.0,0.0,0
2020-12-23,CHO,CLE,0,1,0,1900,2,4,0.0,0.0,1
2020-12-23,SAC,DEN,0,1,0,2100,2,2,0.0,0.0,0
2020-12-23,NYK,IND,0,1,0,1900,2,3,0.0,0.0,1
2020-12-23,SAS,MEM,0,1,0,2000,2,5,0.0,0.0,0
2020-12-23,DET,MIN,0,1,0,2000,1,3,0.0,0.0,1
2020-12-23,MIA,ORL,0,1,0,1900,2,3,0.0,0.0,1
2020-12-23,WAS,PHI,0,1,0,1900,3,2,0.0,0.0,1
2020-12-23,DAL,PHO,0,1,0,2230,3,2,0.0,0.0,1
2020-12-23,UTA,POR,0,1,0,2200,2,3,0.0,0.0,0
2020-12-23,NOP,TOR,0,1,0,1930,2,2,0.0,0.0,0
2020-12-25,BRK,BOS,0,1,1,1700,2,4,0.0,0.0,0
2020-12-25,LAC,DEN,0,1,1,2230,2,2,0.0,0.0,0
2020-12-25,DAL,LAL,0,1,1,2000,3,2,0.0,0.0,1
2020-12-25,NOP,MIA,0,1,1,2400,2,2,0.0,0.0,1
2020-12-25,GSW,MIL,0,1,1,1430,4,1,0.0,0.0,1
2020-12-26,IND,CHI,0,1,0,2000,4,2,1.000,.000,0
2020-12-26,OKC,CHO,0,1,0,1900,2,3,1.000,.000,0
2020-12-26,CLE,DET,0,1,0,1900,3,1,1.000,.000,0
2020-12-26,ATL,MEM,0,1,0,1700,4,5,1.000,.000,0
2020-12-26,PHI,NYK,0,1,0,1930,2,4,1.000,.000,0
2020-12-26,HOU,POR,0,1,0,2200,3,2,.000,.500,1
2020-12-26,PHO,SAC,0,1,0,2200,1,2,.500,1.000,1
2020-12-26,TOR,SAS,0,1,0,2030,2,2,.000,1.000,1
2020-12-26,MIN,UTA,0,1,0,2100,3,2,1.000,.500,0
2020-12-26,ORL,WAS,0,1,0,1900,3,3,1.000,.000,0
2020-12-27,GSW,CHI,0,1,0,2000,5,2,.333,.000,0
2020-12-27,BRK,CHO,0,1,0,1900,2,3,.667,.333,1
2020-12-27,PHI,CLE,0,1,0,1930,2,4,.667,1.000,1
2020-12-27,BOS,IND,0,1,0,2000,3,5,.333,1.000,1
2020-12-27,DAL,LAC,0,1,0,1530,3,2,.333,.667,0
2020-12-27,MIN,LAL,0,1,0,2200,3,2,.667,.667,1
2020-12-27,SAS,NOP,0,1,0,1900,2,2,.667,.667,1
2020-12-27,MIL,NYK,0,1,0,1930,2,5,.333,.333,1
2020-12-27,PHO,SAC,0,1,0,2100,1,2,.667,.667,0
2020-12-27,ORL,WAS,0,1,0,1900,3,4,1.000,.000,0
2020-12-28,DET,ATL,0,1,0,1930,3,3,.000,1.000,1
2020-12-28,MEM,BRK,0,1,0,1930,5,4,.333,.500,0
2020-12-28,HOU,DEN,0,1,0,2100,3,2,.000,.333,1
2020-12-28,POR,LAL,0,1,0,2200,3,3,.667,.500,0
2020-12-28,UTA,OKC,0,1,0,2000,2,2,.667,.500,0
2020-12-29,NYK,CLE,0,1,0,1900,5,5,.500,.750,0
2020-12-29,GSW,DET,0,1,0,1900,5,2,.500,.000,0
2020-12-29,BOS,IND,0,1,0,1900,3,3,.500,.750,0
2020-12-29,MIN,LAC,0,1,0,2200,4,2,.500,.750,1
2020-12-29,MIL,MIA,0,1,0,1930,3,2,.500,.333,0
2020-12-29,ORL,OKC,0,1,0,2000,3,4,1.000,.333,0
2020-12-29,TOR,PHI,0,1,0,1900,2,2,.000,.750,1
2020-12-29,NOP,PHO,0,1,0,2200,2,1,.500,.750,1
2020-12-29,DEN,SAC,0,1,0,2200,2,2,.250,.750,1
2020-12-29,CHI,WAS,0,1,0,1900,2,2,.250,.000,0
2020-12-30,MEM,BOS,0,1,0,1930,5,4,.250,.600,1
2020-12-30,ATL,BRK,0,1,0,1930,3,2,.750,.600,1
2020-12-30,CHO,DAL,0,1,0,2030,3,3,.500,.250,0
2020-12-30,POR,LAC,0,1,0,2200,3,2,.500,.800,1
2020-12-30,MIL,MIA,0,1,0,1930,3,2,.400,.500,1
2020-12-30,LAL,SAS,0,1,0,2030,2,3,.600,.500,0
2020-12-31,SAC,HOU,0,1,0,1900,2,4,.600,.333,1
2020-12-31,CLE,IND,0,1,0,1500,5,4,.600,.800,1
2020-12-31,NOP,OKC,0,1,0,2000,2,2,.600,.250,0
2020-12-31,PHI,ORL,0,1,0,1830,2,4,.800,.800,0
2020-12-31,NYK,TOR,0,1,0,1930,5,2,.400,.250,1
2020-12-31,PHO,UTA,0,1,0,2100,2,2,.800,.500,0
2020-12-31,CHI,WAS,0,1,0,1700,4,3,.400,.000,0
2021-01-01,ATL,BRK,0,1,1,1930,4,2,.800,.500,0
2021-01-01,MEM,CHO,0,1,1,1900,5,3,.400,.400,0
2021-01-01,MIA,DAL,0,1,1,1900,2,3,.400,.400,1
2021-01-01,PHO,DEN,0,1,1,2100,2,2,.833,.200,0
2021-01-01,BOS,DET,0,1,1,1900,3,2,.500,.200,1
2021-01-01,POR,GSW,0,1,1,2230,3,4,.600,.400,0
2021-01-01,CHI,MIL,0,1,1,2000,4,3,.333,.500,1
2021-01-01,WAS,MIN,0,1,1,2000,2,4,.167,.400,0
2021-01-01,LAL,SAS,0,1,1,2000,2,3,.667,.400,0
2021-01-01,LAC,UTA,0,1,1,2100,2,2,.667,.600,1
2021-01-02,CLE,ATL,0,1,0,1930,5,5,.667,.667,0
2021-01-02,SAC,HOU,0,1,0,1700,2,4,.500,.500,1
2021-01-02,NYK,IND,0,1,0,1900,5,4,.500,.667,0
2021-01-02,TOR,NOP,0,1,0,1930,2,2,.200,.667,1
2021-01-02,OKC,ORL,0,1,0,1900,2,5,.400,.667,0
2021-01-02,CHO,PHI,0,1,0,1900,3,2,.333,.833,1
2021-01-03,WAS,BRK,0,1,0,1800,2,2,.286,.429,0
2021-01-03,DAL,CHI,0,1,0,2000,2,4,.333,.429,1
2021-01-03,BOS,DET,0,1,0,1500,3,2,.571,.167,0
2021-01-03,POR,GSW,0,1,0,2030,2,4,.500,.500,1
2021-01-03,LAL,MEM,0,1,0,1800,4,5,.714,.333,0
2021-01-03,DEN,MIN,0,1,0,1900,2,4,.333,.333,0
2021-01-03,LAC,PHO,0,1,0,2000,1,2,.714,.714,0
2021-01-03,UTA,SAS,0,1,0,1900,2,4,.667,.333,0
2021-01-04,NYK,ATL,0,1,0,1930,5,4,.571,.571,0
2021-01-04,SAC,GSW,0,1,0,2200,3,4,.429,.571,1
2021-01-04,DAL,HOU,0,1,0,2000,3,3,.429,.400,0
2021-01-04,OKC,MIA,0,1,0,1930,3,4,.333,.500,1
2021-01-04,DET,MIL,0,1,0,2000,3,4,.143,.571,1
2021-01-04,IND,NOP,0,1,0,2000,4,1,.714,.571,0
2021-01-04,CLE,ORL,0,1,0,1900,5,5,.571,.714,1
2021-01-04,CHO,PHI,0,1,0,1900,3,2,.286,.857,1
2021-01-04,BOS,TOR,0,1,0,1930,5,2,.625,.167,0
2021-01-05,UTA,BRK,0,1,0,1930,2,3,.571,.500,1
2021-01-05,MIN,DEN,0,1,0,2100,4,2,.286,.429,1
2021-01-05,SAS,LAC,0,1,0,2200,3,1,.429,.625,0
2021-01-05,LAL,MEM,0,1,0,2000,4,5,.750,.286,0
2021-01-05,CHI,POR,0,1,0,2230,4,2,.500,.429,0
2021-01-06,CHO,ATL,0,1,1,1930,4,5,.375,.500,0
2021-01-06,LAC,GSW,0,1,1,2200,1,5,.667,.500,0
2021-01-06,HOU,IND,0,1,1,1900,4,5,.333,.750,1
2021-01-06,BOS,MIA,0,1,1,1930,4,2,.667,.429,0
2021-01-06,DET,MIL,0,1,1,2000,3,4,.125,.625,1
2021-01-06,OKC,NOP,0,1,1,2000,3,1,.429,.500,0
2021-01-06,UTA,NYK,0,1,1,1930,2,4,.500,.625,1
2021-01-06,CLE,ORL,0,1,1,1900,5,4,.500,.750,1
2021-01-06,WAS,PHI,0,1,1,1900,2,2,.250,.875,1
2021-01-06,TOR,PHO,0,1,1,2100,2,1,.143,.750,1
2021-01-06,CHI,SAC,0,1,1,2200,4,3,.444,.500,1
2021-01-07,PHI,BRK,0,1,0,1930,4,5,.778,.556,1
2021-01-07,DAL,DEN,0,1,0,2200,3,2,.500,.375,0
2021-01-07,SAS,LAL,0,1,0,2200,3,3,.500,.667,0
2021-01-07,CLE,MEM,0,1,0,2000,5,5,.556,.250,0
2021-01-07,MIN,POR,0,1,0,2200,4,1,.250,.500,1
2021-01-08,WAS,BOS,0,1,0,1930,2,5,.222,.700,1
2021-01-08,PHO,DET,0,1,0,1900,1,2,.667,.222,1
2021-01-08,LAC,GSW,0,1,0,2200,1,4,.600,.556,1
2021-01-08,ORL,HOU,0,1,0,2000,5,3,.667,.429,1
2021-01-08,CHI,LAL,0,1,0,2200,4,3,.400,.700,1
2021-01-08,BRK,MEM,0,1,0,2000,5,5,.500,.333,1
2021-01-08,UTA,MIL,0,1,0,2000,3,4,.556,.556,0
2021-01-08,CHO,NOP,0,1,0,1930,3,1,.444,.444,0
2021-01-08,OKC,NYK,0,1,0,1930,2,4,.500,.556,0
2021-01-08,TOR,SAC,0,1,0,2200,2,3,.250,.444,0
2021-01-09,ATL,CHO,0,1,0,1900,5,3,.444,.500,1
2021-01-09,ORL,DAL,0,1,0,2030,5,4,.600,.556,1
2021-01-09,PHO,IND,0,1,0,1900,1,5,.700,.667,0
2021-01-09,CLE,MIL,0,1,0,2000,5,4,.500,.600,1
2021-01-09,SAS,MIN,0,1,0,2000,3,3,.556,.222,0
